EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_COUNTRY_OF_CITIZENSHIP	FR_PAYS_DE_CITOYENNETÉ	TOTAL
2016	Q3	Aug	2016	T3	août	Sri Lanka	Sri Lanka	75
2015	Q4	Nov	2015	T4	nov.	Cameroon, Federal Republic of	Cameroun, République fédérale du	60
2019	Q3	Jul	2019	T3	juil.	Trinidad and Tobago, Republic of	Trinité-et-Tobago, République de	30
2021	Q2	May	2021	T2	mai	Mali, Republic of	Mali, République du	50
2022	Q4	Dec	2022	T4	déc.	Spain	Espagne	50
2015	Q3	Sep	2015	T3	sept.	Zambia	Zambie	20
2019	Q2	Jun	2019	T2	juin	Jordan	Jordanie	80
2017	Q4	Dec	2017	T4	déc.	Ukraine	Ukraine	105
2021	Q2	Apr	2021	T2	avr.	Argentina	Argentine	30
2017	Q3	Sep	2017	T3	sept.	Lebanon	Liban	70
2021	Q4	Nov	2021	T4	nov.	Mongolia, People's Republic of	Mongolie, République Populaire de	10
2021	Q1	Mar	2021	T1	mars	Bhutan	Bhoutan	5
2021	Q2	May	2021	T2	mai	Philippines	Philippines	810
2016	Q2	May	2016	T2	mai	Togo, Republic of	Togo, République du	15
2023	Q2	May	2023	T2	mai	Stateless	Apatride	10
2021	Q1	Feb	2021	T1	fév.	Israel	Israël	30
2016	Q2	May	2016	T2	mai	Brazil	Brésil	470
2024	Q1	Jan	2024	T1	janv.	South Africa, Republic of	Afrique du Sud, République d'	90
2021	Q3	Aug	2021	T3	août	Solomon Islands	Solomon, Îles	--
2023	Q3	Sep	2023	T3	sept.	Italy	Italie	320
2016	Q3	Sep	2016	T3	sept.	Indonesia, Republic of	Indonésie, République d'	85
2023	Q3	Aug	2023	T3	août	Eritrea	Érythrée	10
2015	Q2	May	2015	T2	mai	Haiti	Haïti	25
2016	Q2	Apr	2016	T2	avr.	St. Lucia	Sainte-Lucie	5
2022	Q1	Feb	2022	T1	fév.	Nigeria	Nigéria	595
2019	Q3	Jul	2019	T3	juil.	Mexico	Mexique	480
2017	Q3	Aug	2017	T3	août	Panama, Republic of	Panama, République du	25
2020	Q4	Oct	2020	T4	oct.	Italy	Italie	45
2015	Q2	Apr	2015	T2	avr.	Morocco	Maroc	60
2021	Q3	Jul	2021	T3	juil.	Surinam	Surinam	--
2018	Q1	Jan	2018	T1	janv.	Morocco	Maroc	225
2019	Q3	Sep	2019	T3	sept.	Colombia	Colombie	560
2015	Q4	Oct	2015	T4	oct.	Italy	Italie	40
2021	Q4	Dec	2021	T4	déc.	Bulgaria	Bulgarie	--
2018	Q3	Jul	2018	T3	juil.	Philippines	Philippines	260
2020	Q1	Mar	2020	T1	mars	Poland	Pologne	--
2019	Q2	Jun	2019	T2	juin	Moldova	Moldavie	5
2024	Q2	Apr	2024	T2	avr.	Ukraine	Ukraine	415
2015	Q3	Aug	2015	T3	août	Australia	Australie	145
2020	Q2	Jun	2020	T2	juin	Ghana	Ghana	45
2018	Q1	Jan	2018	T1	janv.	Albania	Albanie	15
2018	Q3	Jul	2018	T3	juil.	Switzerland	Suisse	35
2024	Q1	Jan	2024	T1	janv.	Vietnam	Viêt-Nam	780
2023	Q3	Aug	2023	T3	août	Switzerland	Suisse	220
2018	Q3	Jul	2018	T3	juil.	India	Inde	6675
2023	Q1	Mar	2023	T1	mars	Russia	Russie	135
2018	Q2	May	2018	T2	mai	Azerbaijan	Azerbaïdjan	5
2023	Q4	Nov	2023	T4	nov.	Italy	Italie	60
2019	Q2	May	2019	T2	mai	Togo, Republic of	Togo, République du	20
2018	Q4	Nov	2018	T4	nov.	Tunisia	Tunisie	90
2016	Q4	Nov	2016	T4	nov.	France	France	380
2016	Q1	Feb	2016	T1	fév.	Ireland, Republic of	Irlande, République d'	15
2016	Q1	Jan	2016	T1	janv.	Bulgaria	Bulgarie	5
2015	Q4	Dec	2015	T4	déc.	Panama, Republic of	Panama, République du	10
2019	Q1	Jan	2019	T1	janv.	Panama, Republic of	Panama, République du	10
2017	Q3	Jul	2017	T3	juil.	Bosnia-Herzegovina	Bosnie-Herzégovine	--
2016	Q2	May	2016	T2	mai	Brunei	Brunéi	--
2019	Q4	Oct	2019	T4	oct.	Gabon Republic	Gabon, République du	--
2021	Q1	Mar	2021	T1	mars	Syria	Syrie	5
2015	Q3	Sep	2015	T3	sept.	Congo, People's Republic of the	Congo, République Populaire du	20
2019	Q1	Jan	2019	T1	janv.	Fiji	Fidji	--
2018	Q1	Jan	2018	T1	janv.	Mozambique	Mozambique	--
2021	Q4	Nov	2021	T4	nov.	Denmark	Danemark	5
2023	Q3	Aug	2023	T3	août	Qatar	Qatar	--
2020	Q1	Jan	2020	T1	janv.	Tonga	Tonga	--
2017	Q3	Aug	2017	T3	août	Fiji	Fidji	--
2021	Q3	Jul	2021	T3	juil.	Uruguay	Uruguay	5
2021	Q2	May	2021	T2	mai	Kyrgyzstan	Kirghizistan	--
2020	Q3	Aug	2020	T3	août	French Polynesia	Polynésie Française	--
2020	Q4	Oct	2020	T4	oct.	Latvia	Lettonie	--
2022	Q2	Jun	2022	T2	juin	Tajikistan	Tadjikistan	--
2019	Q1	Feb	2019	T1	fév.	Comoros	Comores, Les	--
2018	Q4	Oct	2018	T4	oct.	Swaziland	Swaziland	--
2023	Q1	Mar	2023	T1	mars	Iceland	Islande	--
2021	Q1	Jan	2021	T1	janv.	San Marino	Saint-Marin	--
2018	Q2	Apr	2018	T2	avr.	Korea, Republic of	Corée, République de	1200
2016	Q2	May	2016	T2	mai	Libya	Libye	100
2016	Q3	Sep	2016	T3	sept.	Denmark	Danemark	20
2023	Q2	Apr	2023	T2	avr.	Albania	Albanie	35
2024	Q1	Feb	2024	T1	fév.	Iraq	Iraq	20
2024	Q2	Apr	2024	T2	avr.	Sri Lanka	Sri Lanka	405
2019	Q1	Jan	2019	T1	janv.	Togo, Republic of	Togo, République du	65
2020	Q4	Oct	2020	T4	oct.	Iran	Iran	430
2017	Q3	Sep	2017	T3	sept.	Nicaragua	Nicaragua	10
2015	Q3	Aug	2015	T3	août	Slovak Republic	République slovaque	30
2020	Q1	Mar	2020	T1	mars	Israel	Israël	15
2022	Q4	Oct	2022	T4	oct.	Egypt	Égypte	90
2022	Q3	Aug	2022	T3	août	Rwanda	Rwanda	155
2016	Q1	Mar	2016	T1	mars	Netherlands, The	Pays-Bas	15
2017	Q4	Nov	2017	T4	nov.	Eritrea	Érythrée	25
2018	Q3	Aug	2018	T3	août	Ethiopia	Éthiopie	65
2023	Q4	Nov	2023	T4	nov.	Macedonia	Macédoine	--
2022	Q2	Apr	2022	T2	avr.	Togo, Republic of	Togo, République du	30
2020	Q1	Jan	2020	T1	janv.	Kosovo, Republic of	Kosovo, République du	--
2015	Q4	Dec	2015	T4	déc.	Venezuela	Venezuela	140
2020	Q2	May	2020	T2	mai	Russia	Russie	85
2022	Q3	Sep	2022	T3	sept.	Togo, Republic of	Togo, République du	70
2019	Q3	Aug	2019	T3	août	Bermuda	Bermudes	30
2018	Q2	Jun	2018	T2	juin	Jordan	Jordanie	40
2023	Q1	Feb	2023	T1	fév.	Mauritius	Maurice	25
2019	Q3	Sep	2019	T3	sept.	Vietnam	Viêt-Nam	1265
2019	Q3	Sep	2019	T3	sept.	South Africa, Republic of	Afrique du Sud, République d'	35
2018	Q4	Nov	2018	T4	nov.	Sweden	Suède	10
2019	Q2	May	2019	T2	mai	Singapore	Singapour	20
2017	Q3	Aug	2017	T3	août	Brunei	Brunéi	--
2020	Q4	Nov	2020	T4	nov.	Sri Lanka	Sri Lanka	60
2023	Q4	Oct	2023	T4	oct.	Sri Lanka	Sri Lanka	200
2017	Q1	Jan	2017	T1	janv.	Saudi Arabia	Arabie Saoudite	705
2023	Q4	Oct	2023	T4	oct.	Macau SAR	RAS Macao	5
2022	Q4	Dec	2022	T4	déc.	Kuwait	Koweït	25
2015	Q1	Jan	2015	T1	janv.	Luxembourg	Luxembourg	--
2018	Q4	Dec	2018	T4	déc.	Congo, Democratic Republic of the	Congo, République Démocratique du	90
2017	Q3	Aug	2017	T3	août	Jamaica	Jamaïque	435
2024	Q1	Mar	2024	T1	mars	Nigeria	Nigéria	2150
2019	Q1	Jan	2019	T1	janv.	Jamaica	Jamaïque	140
2019	Q3	Sep	2019	T3	sept.	Guyana	Guyane	30
2020	Q1	Jan	2020	T1	janv.	Lebanon	Liban	35
2021	Q1	Jan	2021	T1	janv.	Eritrea	Érythrée	--
2020	Q1	Mar	2020	T1	mars	Luxembourg	Luxembourg	--
2024	Q2	Apr	2024	T2	avr.	Macau SAR	RAS Macao	--
2021	Q2	Jun	2021	T2	juin	Kosovo, Republic of	Kosovo, République du	--
2022	Q1	Feb	2022	T1	fév.	Cuba	Cuba	10
2022	Q2	Jun	2022	T2	juin	Tanzania, United Republic of	Tanzanie, République unie de	20
2016	Q1	Mar	2016	T1	mars	Bolivia	Bolivie	--
2021	Q1	Mar	2021	T1	mars	Slovenia	Slovénie	--
2016	Q4	Dec	2016	T4	déc.	Somalia, Democratic Republic of	Somalie, République Démocratique de	5
2015	Q3	Aug	2015	T3	août	Sierra Leone	Sierra Leone	--
2018	Q3	Sep	2018	T3	sept.	Andorra	Andorre	--
2019	Q2	Jun	2019	T2	juin	Australia	Australie	15
2022	Q4	Oct	2022	T4	oct.	Norway	Norvège	--
2021	Q2	May	2021	T2	mai	Niger, Republic of the	Niger, République du	10
2022	Q4	Oct	2022	T4	oct.	Nicaragua	Nicaragua	5
2020	Q3	Jul	2020	T3	juil.	Netherlands Antilles, The	Antilles Néerlandaises, Les	--
2020	Q4	Oct	2020	T4	oct.	Mauritania	Mauritanie	--
2016	Q1	Feb	2016	T1	fév.	Uzbekistan	Ouzbékistan	--
2015	Q1	Feb	2015	T1	fév.	Sudan, Democratic Republic of	Soudan, République démocratique du	--
2016	Q4	Oct	2016	T4	oct.	Djibouti, Republic of	Djibouti, République de	--
2020	Q3	Aug	2020	T3	août	Malawi	Malawi	5
2020	Q4	Nov	2020	T4	nov.	Macau SAR	RAS Macao	5
2019	Q1	Jan	2019	T1	janv.	Brunei	Brunéi	--
2016	Q4	Dec	2016	T4	déc.	Liberia	Libéria	--
2016	Q4	Oct	2016	T4	oct.	Namibia	Namibie	--
2023	Q2	Apr	2023	T2	avr.	Mozambique	Mozambique	--
2023	Q4	Oct	2023	T4	oct.	United Arab Emirates	Émirats arabes unis	--
2022	Q3	Jul	2022	T3	juil.	Estonia	Estonie	--
