EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_COUNTRY_OF_CITIZENSHIP	FR_PAYS_DE_CITOYENNETÉ	TOTAL
2018	Q2	Apr	2018	T2	avr.	Korea, Republic of	Corée, République de	125
2020	Q2	May	2020	T2	mai	Russia	Russie	5
2018	Q4	Nov	2018	T4	nov.	Israel	Israël	15
2016	Q3	Sep	2016	T3	sept.	Denmark	Danemark	10
2021	Q1	Jan	2021	T1	janv.	Germany	Allemagne	40
2016	Q2	May	2016	T2	mai	Trinidad and Tobago, Republic of	Trinité-et-Tobago, République de	170
2020	Q3	Jul	2020	T3	juil.	Morocco	Maroc	25
2016	Q1	Mar	2016	T1	mars	South Africa, Republic of	Afrique du Sud, République d'	25
2023	Q2	Jun	2023	T2	juin	St. Vincent and the Grenadines	Saint-Vincent-et-les-Grenadines	25
2023	Q2	Apr	2023	T2	avr.	Albania	Albanie	35
2023	Q2	Jun	2023	T2	juin	Nicaragua	Nicaragua	90
2019	Q2	Jun	2019	T2	juin	Australia	Australie	25
2024	Q2	Apr	2024	T2	avr.	Sri Lanka	Sri Lanka	75
2022	Q4	Oct	2022	T4	oct.	Norway	Norvège	5
2022	Q3	Jul	2022	T3	juil.	Estonia	Estonie	15
2017	Q1	Feb	2017	T1	fév.	Greece	Grèce	--
2023	Q3	Sep	2023	T3	sept.	Portugal	Portugal	20
2015	Q2	May	2015	T2	mai	Peru	Pérou	20
2017	Q1	Feb	2017	T1	fév.	Macedonia	Macédoine	--
2016	Q1	Mar	2016	T1	mars	Croatia	Croatie	15
2019	Q2	Apr	2019	T2	avr.	Belgium	Belgique	15
2020	Q4	Oct	2020	T4	oct.	Iran	Iran	15
2017	Q3	Sep	2017	T3	sept.	Nicaragua	Nicaragua	15
2019	Q1	Mar	2019	T1	mars	Iran	Iran	10
2022	Q3	Aug	2022	T3	août	Serbia, Republic of	Serbie, République de	30
2015	Q3	Aug	2015	T3	août	Slovak Republic	République slovaque	5
2015	Q2	Apr	2015	T2	avr.	Bulgaria	Bulgarie	--
2020	Q1	Mar	2020	T1	mars	Israel	Israël	10
2023	Q1	Feb	2023	T1	fév.	Mauritius	Maurice	100
2022	Q2	Apr	2022	T2	avr.	Kosovo, Republic of	Kosovo, République du	10
2020	Q2	Jun	2020	T2	juin	New Zealand	Nouvelle-Zélande	10
2022	Q4	Oct	2022	T4	oct.	Egypt	Égypte	15
2021	Q4	Nov	2021	T4	nov.	Nigeria	Nigéria	10
